playerID,PO,A,Salaries
abadfe01,2,4,1087500
adamsau01,0,4,507700
alberma01,3,8,1500000
albural01,5,9,1725000
allenco01,2,4,547100
alvarhe01,3,4,4000000
alvarjo02,6,8,509500
alvarrj01,2,1,507500
amarial01,0,0,1150000
anderbr04,4,47,10000000
anderch01,8,14,512500
andrima01,4,5,507500
archech01,5,22,1166667
arrieja01,33,49,3630000
avilalu01,8,24,530000
axforjo01,6,8,2600000
badenbu01,3,9,1000000
baezpe01,1,4,512500
baileho02,1,2,10000000
barnema01,4,3,508500
barreaa01,2,3,514200
bassan01,6,8,725000
bastaan01,0,4,3100000
bauertr01,12,13,1940000
beachbr01,1,0,2750000
beeleda01,1,2,508000
belisma01,1,7,3500000
belivje01,0,0,513600
betande01,5,8,507500
billich01,2,6,1500000
blazemi01,5,9,508500
boxbebr01,1,6,521400
boyerbl01,7,13,750000
brachbr01,3,6,523000
breslcr01,3,5,2000000
brittza01,5,21,3200000
brothre01,0,2,1400000
brownbr02,1,4,509500
broxtjo01,8,16,9000000
buchada01,2,5,512500
buchhcl01,9,6,12000000
bumgama01,5,19,6750000
butleed01,10,15,509500
cahiltr01,8,12,12000000
cainma01,2,4,21000000
caminar01,2,9,515500
carmofa01,6,12,2650000
carpeda01,2,4,1300000
carraca01,8,14,2337500
cashnan01,9,34,4050000
cecilbr01,3,5,2475000
cedenxa01,0,0,516500
chafian01,4,10,507500
chambjo03,4,4,1000000
chapmar01,1,2,8050000
chaveje01,10,10,2150000
chenwe02,12,22,4750000
cingrto01,0,6,525500
cishest01,8,10,6650000
claudal01,2,4,508500
clippty01,2,4,8300001
cokeph01,4,6,2250000
colege01,10,37,531000
colemlo01,0,1,725000
collmjo01,17,14,1400000
colomal01,5,12,510800
cookry01,0,0,1400000
corbipa01,2,18,524000
cosarja01,1,19,540000
cottsne01,4,10,3000000
crockky01,0,2,510900
cuetojo01,24,36,10000000
danksjo01,6,20,15750000
davisik02,0,0,3800000
daviswa01,9,8,7000000
deckeja01,0,1,510000
dedunsa01,2,1,525100
defraju01,10,3,528000
